packageName,className,methodName,mcrCategories,mcrTags
org.aksw.palmetto.calculations.indirect,JaccardBasedCalculationTest,.,null,null
org.aksw.palmetto.subsets,OneSubsequentTest,.,none,none
org.aksw.palmetto.calculations.direct,LogCondProbConfirmationMeasure,getName,none,none
org.aksw.palmetto,PairwiseTopicComparingSegmentator,.,none,none
org.aksw.palmetto.vector,AbstractVectorCreator,createVectors,none,none
org.aksw.palmetto.prob,AbstractBooleanDocumentSupportingAdapterBasedTest,getDocumentsWithWordsAsSet,null,null
org.aksw.palmetto.vector,ProbabilityBasedVectorCreatorTest,.,null,null
org.aksw.palmetto.aggregation,GeometricMean,.,none,none
org.aksw.palmetto.calculations.direct,LogLikelihoodConfirmationMeasure,calculateConfirmationValues,none,none
org.aksw.palmetto.corpus.lucene.creation,IndexableDocument,setNumberOfTokens,none,none
org.aksw.palmetto.subsets,AllAll,getName,none,none
org.aksw.palmetto.subsets,AllOne,.,none,none
org.aksw.palmetto.weight,CompleteProbabilityBasedWeighter,getName,none,none
org.aksw.palmetto.calculations.direct,AbstractProbabilityBasedCalculationTest,.,none,none
org.aksw.palmetto.sum,MinTest,.,null,null
org.aksw.palmetto.subsets,OneOneTest,.,none,none
org.aksw.palmetto.prob.decorator,AbstractSlidingWindowFrequencyDeterminerDecorator,.,none,none
org.aksw.palmetto.vector,DirectConfirmationBasedVectorCreator,getVectorCreatorName,none,none
org.aksw.palmetto.calculations.direct,JaccardConfirmationMeasure,getName,none,none
org.aksw.palmetto.vector,ProbabilityBasedVectorCreator,createVectors,none,none
org.aksw.palmetto.sum,AbstractSummarizationTest,.,none,none
org.aksw.palmetto,DirectConfirmationBasedCoherence,calculateCoherences,none,none
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminer,createBitSets,null,null
org.aksw.palmetto.corpus.lucene.creation,SimpleLuceneIndexCreatorTest,test,null,null
org.aksw.palmetto.corpus.lucene.creation,SimpleLuceneIndexCreatorTest,test,null,null
org.aksw.palmetto.corpus.lucene.creation,SimpleLuceneIndexCreatorTest,test,null,null
org.aksw.palmetto.subsets,OneAnyTest,data,null,null
org.aksw.palmetto.webapp.config,RootConfig,createCVCoherence,null,null
org.aksw.palmetto.webapp.config,RootConfig,createCVCoherence,null,null
org.aksw.palmetto.data,SubsetProbabilities,setSegmentProbabilities,none,none
org.aksw.palmetto.prob.decorator,SlidingWindowFrequencyDeterminerDecorator,.,none,none
org.aksw.palmetto.vector,LogRatioCalculationBasedCreatorTest,data,null,null
org.aksw.palmetto.webapp.config,PalmettoConfiguration,getInstance,null,null
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,create,null,null
org.aksw.palmetto.prob.bd,BooleanDocumentProbabilitySupplier,getName,none,none
org.aksw.palmetto.subsets,OneSucceeding,.,none,none
org.aksw.palmetto.calculations.indirect,AbstractVectorBasedCalculationTest,.,none,none
org.aksw.palmetto.evaluate.correlation,KendallsTauTest,data,null,null
org.aksw.palmetto.webapp,PalmettoApplication,calculate,none,none
org.aksw.palmetto.corpus.lucene.creation,SimpleLuceneIndexCreator,.,null,null
org.aksw.palmetto.vector,AbstractVectorCreatorTest,getName,none,none
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,getDocumentsWithWord,null,null
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,getDocumentsWithWord,null,null
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,getDocumentsWithWord,null,null
org.aksw.palmetto.prob.decorator,AbstractSlidingWindowFrequencyDeterminerDecorator,getWindowSize,none,none
org.aksw.palmetto.webapp,DfClient,testUnderscore,null,null
org.aksw.palmetto.webapp.config,RootConfig,createNPMICoherence,null,null
org.aksw.palmetto.webapp.config,RootConfig,createNPMICoherence,null,null
org.aksw.palmetto.prob.bd,BooleanDocumentProbabilitySupplierTest,data,null,null
org.aksw.palmetto.aggregation,Aggregation,getName,none,none
org.aksw.palmetto.aggregation,Median,summarize,null,null
org.aksw.palmetto.aggregation,Min,getName,none,none
org.aksw.palmetto.calculations.direct,CondProbConfirmationMeasure,.,none,none
org.aksw.palmetto.corpus.lucene.creation,AbstractLuceneIndexCreator,.,null,null
org.aksw.palmetto.prob.window,WindowBasedProbabilityEstimator,getProbabilities,none,none
org.aksw.palmetto.weight,MarginalProbabilityBasedWeighter,createWeights,none,none
org.aksw.palmetto.calculations.direct,NormalizedLogRatioCoherenceCalculationTest,.,null,null
org.aksw.palmetto.prob,BooleanSlidingWindowFrequencyDeterminerCountingTest,getDocumentSizeHistogram,none,none
org.aksw.palmetto.subsets,OneSetTest,.,none,none
org.aksw.palmetto.webapp.config,PalmettoConfiguration,.,null,null
org.aksw.palmetto.webapp.config,PalmettoConfiguration,.,null,null
org.aksw.palmetto.aggregation,ArithmeticMean,summarize,none,none
org.aksw.palmetto.prob,AbstractProbabilitySupplier,getProbabilities,none,none
org.aksw.palmetto.aggregation,Min,.,none,none
org.aksw.palmetto.evaluate.correlation,SpearmanTest,test,null,null
org.aksw.palmetto.prob,ContextWindowFrequencyDeterminerCountingTest,close,none,none
org.aksw.palmetto.subsets,AbstractAnyBasedSegmentator,getSubsetDefinitionWithoutRestrictions,none,none
org.aksw.palmetto.subsets,AllAll,.,none,none
org.aksw.palmetto.corpus.lucene,SimpleAnalyzerTest,.,null,null
org.aksw.palmetto.vector,NormalizedLogRatioCalculationBasedCreatorTest,.,null,null
org.aksw.palmetto.prob.decorator,SimpleFrequencyCachingDeterminerDecorator,.,null,null
org.aksw.palmetto.prob.window,AbstractWindowBasedFrequencyDeterminer,.,none,none
org.aksw.palmetto.vector,AbstractVectorCreator,getVectorSpaceName,none,none
org.aksw.palmetto.subsets,AllOneTest,testWordSetLength4,null,null
org.aksw.palmetto.data,SegmentationDefinition,equals,null,null
org.aksw.palmetto.subsets,OneSucceeding,getName,none,none
org.aksw.palmetto.prob,BooleanSlidingWindowFrequencyDeterminerCountingTest,data,null,null
org.aksw.palmetto.sum,MedianTest,.,null,null
org.aksw.palmetto.vector,LogCondProbCalculationBasedCreatorTest,data,null,null
org.aksw.palmetto.weight,WordSetSizeBasedWeighterTest,test,null,null
org.aksw.palmetto.calculations.direct,LogJaccardConfirmationMeasure,calculateConfirmationValues,none,none
org.aksw.palmetto.subsets,OneSetTest,testWordSetLength4,null,null
org.aksw.palmetto.subsets,OnePreceding,getSubsetDefinition,null,null
org.aksw.palmetto.prob.bd,BooleanDocumentProbabilitySupplierTest,.,null,null
org.aksw.palmetto.calculations.indirect,DiceConfirmationMeasure,.,none,none
org.aksw.palmetto.prob,AbstractProbabilitySupplier,setMinFrequency,none,none
org.aksw.palmetto.prob.decorator,AbstractSlidingWindowFrequencyDeterminerDecorator,getCooccurrenceCounts,none,none
org.aksw.palmetto.subsets,AllOne,getName,none,none
org.aksw.palmetto.calculations.direct,LogLikelihoodCoherenceCalculationTest,.,null,null
org.aksw.palmetto.vector,LogLikelihoodCalculationBasedCreatorTest,.,null,null
org.aksw.palmetto,Coherence,calculateCoherences,none,none
org.aksw.palmetto.corpus,BooleanDocumentSupportingAdapter,getDocumentsWithWordsAsSet,null,null
org.aksw.palmetto.subsets,AbstractAnyBasedSegmentator,getSubsetDefinition,none,none
org.aksw.palmetto.calculations.direct,AbstractUndefinedResultHandlingConfirmationMeasure,.,none,none
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminer,createCounts,null,null
org.aksw.palmetto.prob,ProbabilityEstimator,setFrequencyDeterminer,none,none
org.aksw.palmetto.subsets,OneAny,getSubsetDefinitionWithoutRestrictions,null,null
org.aksw.palmetto.sum,GeometricMeanTest,data,null,null
org.aksw.palmetto.aggregation,HarmonicMean,summarize,none,none
org.aksw.palmetto.evaluate.correlation,KendallsTau,compare,none,none
org.aksw.palmetto.prob.window,AbstractWindowBasedFrequencyDeterminer,getCooccurrenceCounts,none,none
org.aksw.palmetto.calculations.direct,OlssonsCoherenceCalculationTest,data,null,null
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreatorTest,.,none,none
org.aksw.palmetto.prob.window,WindowBasedProbabilityEstimator,.,none,none
org.aksw.palmetto.aggregation,ArithmeticMean,toString,none,none
org.aksw.palmetto.calculations.indirect,CentroidConfirmationMeasure,calculateConfirmationValues,null,null
org.aksw.palmetto.prob.window,ContextWindowFrequencyDeterminer,getWindowSize,none,none
org.aksw.palmetto.calculations.indirect,CentroidBasedCoherenceTest,.,null,null
org.aksw.palmetto.aggregation,GeometricMean,getName,none,none
org.aksw.palmetto.calculations.direct,LikelihoodConfirmationMeasure,getName,none,none
org.aksw.palmetto.prob.bd,ListBasedBooleanDocumentFrequencyDeterminer,determineCounts,null,null
org.aksw.palmetto.prob.window,AbstractWindowBasedFrequencyDeterminer,addCountsFromDocument,null,null
org.aksw.palmetto.calculations.indirect,JaccardBasedCalculationTest,data,null,null
org.aksw.palmetto.calculations.indirect,CosinusConfirmationMeasure,getName,none,none
org.aksw.palmetto.subsets,OneAllTest,.,none,none
org.aksw.palmetto.corpus.lucene.creation,AbstractLuceneIndexCreator,addDocumentLength,null,null
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,data,null,null
org.aksw.palmetto.subsets,OneOneAndSelfTest,testWordSetLength4,null,null
org.aksw.palmetto.weight,ConditionalProbabilityBasedWeighterTest,.,null,null
org.aksw.palmetto.evaluate.correlation,KendallsTau,calculateRankCorrelation,none,none
org.aksw.palmetto.subsets,OneSucceeding,getSubsetDefinition,null,null
org.aksw.palmetto.evaluate.correlation,PearsonsSampleCorrelationCoefficientTest,test,null,null
org.aksw.palmetto.calculations.indirect,CentroidConfirmationMeasure,getName,none,none
org.aksw.palmetto.calculations.direct,LogCondProbCoherenceCalculationTest,data,null,null
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminerTest,data,null,null
org.aksw.palmetto.aggregation,Max,getName,none,none
org.aksw.palmetto.prob.bd,ListBasedBooleanDocumentFrequencyDeterminer,.,none,none
org.aksw.palmetto.aggregation,QuadraticMean,getName,none,none
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,determineCounts,null,null
org.aksw.palmetto.vector,RatioCoherenceCalculationTest,.,null,null
org.aksw.palmetto.weight,CompleteProbabilityBasedWeighter,.,none,none
org.aksw.palmetto.subsets,AllOneTest,.,none,none
org.aksw.palmetto.prob,AbstractProbabilitySupplier,setFrequencyDeterminer,none,none
org.aksw.palmetto.weight,WordSetSizeBasedWeighter,createWeights,none,none
org.aksw.palmetto.calculations.direct,LogRatioConfirmationMeasure,calculateConfirmationValues,none,none
org.aksw.palmetto.subsets,AnyAny,.,none,none
