packageName,className,methodName,mcrCategories,mcrTags
org.aksw.agdistis.util,TripleIndexCreatorContext,search,null,null
null,TripleIndexTest,testRedirects,null,null
null,TripleIndexTest,testRedirects,null,null
org.aksw.agdistis.graph,Node,setAuthorityWeightForCalculation,none,none
org.aksw.agdistis.webapp,RestletApplication,createInboundRoot,none,none
org.aksw.agdistis.algorithm,NamedEntityLengthComparator,.,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,compareTo,none,none
org.aksw.agdistis.algorithm,CandidateUtil,searchbyAcronym,none,none
org.aksw.agdistis.graph,Node,setUnnormalizedHubWeight,none,none
org.aksw.agdistis.model,NamedEntity,equals,none,none
null,TripleIndexTest,testType,null,null
null,TripleIndexTest,testType,null,null
org.aksw.agdistis.datatypes,Candidate,getLabel,none,none
org.aksw.agdistis.graph,HITS,runHits,none,none
org.aksw.agdistis.graph,Node,compareTo,none,none
org.aksw.agdistis.algorithm,DomainWhiteLister,.,none,none
org.aksw.agdistis.datatypes,DocumentText,.,none,none
org.aksw.agdistis.datatypes,Candidate,hashCode,none,none
org.aksw.agdistis.util,Triple,setObject,none,none
org.aksw.agdistis.algorithm,CandidateUtil,searchCandidatesByLabel,none,none
org.aksw.agdistis.algorithm,CandidateUtil,redirect,null,null
org.aksw.agdistis.algorithm,NEDAlgo_HITS,close,none,none
org.aksw.agdistis.graph,Node,containsId,none,none
org.aksw.agdistis.webapp,GetDisambiguation,postText,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,getFromIndex,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,getFromIndex,null,null
org.aksw.agdistis.algorithm,NamedEntityLengthComparator,compare,none,none
org.aksw.agdistis.util,TripleIndexCreator,indexTTLFile,null,null
org.aksw.agdistis.util,TripleIndexCreator,indexTTLFile,null,null
org.aksw.agdistis.graph,Node,getLabels,none,none
org.aksw.agdistis.algorithm,CandidateUtil,heuristicExpansion,null,null
org.aksw.agdistis.model,Result,equals,none,none
org.aksw.agdistis.model,AgdistisEntity,getNamedEntity,none,none
org.aksw.agdistis.model,FrontendContent,.,none,none
org.aksw.agdistis.util,TripleIndex,search,null,null
org.aksw.agdistis.util,TripleIndex,search,null,null
org.aksw.agdistis.util,TripleIndex,search,null,null
org.aksw.agdistis.util,TripleIndex,search,null,null
org.aksw.agdistis.util,TripleIndex,search,null,null
org.aksw.agdistis.util,TripleIndex,search,null,null
org.aksw.agdistis.model,NamedEntity,compareTo,none,none
org.aksw.agdistis.model,AgdistisEntity,setDisambiguatedURL,none,none
org.aksw.agdistis.datatypes,Candidate,setDescription,none,none
org.aksw.agdistis.model,CandidatesScore,setStart,none,none
org.aksw.agdistis.datatypes,Label,setTextHasLabelId,none,none
org.aksw.agdistis.model,CandidatesScore,getUri,none,none
org.aksw.agdistis.datatypes,NamedEntitiesInText,toString,none,none
org.aksw.agdistis.model,Result,setDetectedLanguage,none,none
org.aksw.agdistis.graph,Node,getPredecessors,none,none
org.aksw.agdistis.datatypes,NamedEntitiesInText,getNamedEntities,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,setStartPos,none,none
org.aksw.agdistis.model,FrontendContent,getEntities,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,setType,none,none
org.aksw.agdistis.webapp,GetDisambiguation,.,null,null
org.aksw.agdistis.algorithm,CandidateUtil,addNodeToGraph,null,null
org.aksw.agdistis.algorithm,CandidateUtil,addNodeToGraph,null,null
