packageName,className,methodName,mcrCategories,mcrTags
com.intuit.fuzzymatcher.domain,Element,getPreProcessedValue,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForDuplicateTokensWithNoMatch,null,null
com.intuit.fuzzymatcher.function,PreProcessFunction,nameNormalization,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,writeOutput,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,writeOutput,null,null
com.intuit.fuzzymatcher.component,TokenRepoTest,shouldGetForDateWithNearestNeighbor,null,null
com.intuit.fuzzymatcher.component,Dictionary,getNameDictionary,null,null
com.intuit.fuzzymatcher.domain,Element,getPreProcessFunction,none,none
com.intuit.fuzzymatcher.domain,Matchable,getChildCount,none,none
com.intuit.fuzzymatcher.function,PreProcessFunction,usPhoneNormalization,none,none
com.intuit.fuzzymatcher.component,TokenRepo,.,none,none
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldNormalizeAddress_Success,null,null
com.intuit.fuzzymatcher.component,MatchService,groupSimilar,none,none
com.intuit.fuzzymatcher.component,TokenRepoTest,shouldGetForNumberWithEquality,null,null
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldTestExtraSpaceAndSpecialCharacters_Success,null,null
com.intuit.fuzzymatcher.function,PreProcessFunction,removeTrailingNumber,none,none
com.intuit.fuzzymatcher.domain,DocumentTest,itShouldGetUnmatchedCountForMultiElementTypes,null,null
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetNGramTokenizerLongString,null,null
com.intuit.fuzzymatcher.domain,ElementClassification,equals,none,none
com.intuit.fuzzymatcher.domain,Score,getMatch,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,getTestData,none,none
com.intuit.fuzzymatcher.domain,Match,hashCode,none,none
com.intuit.fuzzymatcher.function,ScoringFunction,getSumOfWeights,none,none
com.intuit.fuzzymatcher.domain,Element,.,none,none
com.intuit.fuzzymatcher.domain,Document,isSource,none,none
com.intuit.fuzzymatcher.component,MatchServicePerfTest,getBigDataDocuments,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithInteger,null,null
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldRemoveSpecialCharPhone_Success,null,null
com.intuit.fuzzymatcher.component,Dictionary,.,null,null
com.intuit.fuzzymatcher.domain,Element,setPreProcessedValue,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldOverridePreProcessingDictionary,null,null
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldGetNullString_Success,null,null
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetValueTokenizerForNumber_Success,null,null
com.intuit.fuzzymatcher.function,ScoringFunction,getUnmatchedChildScore,none,none
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGiveAverageScoreWithEmptyFields_Success,null,null
com.intuit.fuzzymatcher.domain,Match,.,none,none
com.intuit.fuzzymatcher.util,Utils,isNumeric,none,none
com.intuit.fuzzymatcher.domain,ElementTest,itShouldNotMatchPhoneticWordsWithChainTokenizerFunction,null,null
com.intuit.fuzzymatcher.component,MatchService,containsMatch,none,none
com.intuit.fuzzymatcher.util,Utils,getNGrams,null,null
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldRemoveTrailingNumbersFromName_Success,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,.,null,null
com.intuit.fuzzymatcher.component,ElementMatchTest,itShouldMatchUnorderedTokens,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,getTestDocuments,none,none
com.intuit.fuzzymatcher.function,ScoringFunctionTest,getMockToken,null,null
com.intuit.fuzzymatcher.domain,ElementTest,itShouldMatchUnequalWordsWithChainTokenizerFunction,null,null
com.intuit.fuzzymatcher.domain,Document,getElements,none,none
com.intuit.fuzzymatcher.domain,Matchable,getUnmatchedChildCount,none,none
com.intuit.fuzzymatcher.component,TokenRepoTest,shouldGetForNumberWithNearestNeighbor,null,null
com.intuit.fuzzymatcher.domain,DocumentTest,itShouldGetUnmatchedCountForUnbalancedDoc,null,null
com.intuit.fuzzymatcher.component,ElementMatchTest,getElement,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,getDemoDocuments,none,none
com.intuit.fuzzymatcher.function,PreProcessFunction,namePreprocessing,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForUnBalancedEmptyElements,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForUnBalancedEmptyElements,null,null
