packageName,className,methodName,api,mcrCategories,mcrTags
org.dependencytrack.resources.v1,VulnerabilityResourceTest,.,none,none,none
org.dependencytrack.resources.v1,VulnerabilityResourceTest,assignVulnerabilityTest,none,none,none
org.dependencytrack.model,Cpe,getOther,none,none,none
org.dependencytrack.model,DependencyMetrics,getPolicyViolationsInfo,none,none,none
org.dependencytrack.model,VulnerableSoftware,setCpe23,none,none,none
org.dependencytrack.parser.github.graphql.model,GitHubSecurityAdvisory,setVulnerabilities,none,none,none
org.dependencytrack.persistence,MetricsQueryManager,getVulnerabilityMetrics,none,none,none
org.dependencytrack.persistence,QueryManager,deletePolicyCondition,none,none,none
org.dependencytrack.search,CpeIndexer,getSearchFields,none,none,none
org.dependencytrack.search,ProjectIndexer,add,org.apache.lucene:lucene-core,null,null
org.dependencytrack.search,ProjectIndexer,add,us.springett:alpine,null,null
org.dependencytrack.util,HttpUtil,basicAuthHeader,none,none,none
org.dependencytrack.event,MetricsUpdateEventTest,testVulnerabilityTypeEvent,none,none,none
org.dependencytrack.model,RepositoryTest,testType,none,none,none
org.dependencytrack.model,VulnerabilityTest,testId,none,none,none
org.dependencytrack.model,VulnerabilityTest,testCvssV2Vector,none,none,none
org.dependencytrack.policy,PackageURLPolicyEvaluatorTest,.,none,none,none
org.dependencytrack.resources.v1,FindingResourceTest,createComponent,none,none,none
org.dependencytrack.integrations,AbstractIntegrationPoint,.,none,none,none
org.dependencytrack.model,AnalysisComment,setAnalysis,none,none,none
org.dependencytrack.model,NotificationRule,setScope,none,none,none
org.dependencytrack.model,NotificationRule,getPublisherConfig,none,none,none
org.dependencytrack.notification.vo,AnalysisDecisionChange,getProject,none,none,none
org.dependencytrack.persistence,FindingsQueryManager,getFindings,us.springett:alpine,null,null
org.dependencytrack.persistence,MetricsQueryManager,getPortfolioMetrics,us.springett:alpine,null,null
org.dependencytrack.resources.v1,BomResource,isTokenBeingProcessed,us.springett:alpine,null,null
org.dependencytrack.event,FortifySscUploadEventTest,testProjectConstructor,none,none,none
org.dependencytrack.model,ComponentTest,testMd5,none,none,none
org.dependencytrack.notification.publisher,SendMailPublisherTest,testEmptyDestinations,none,none,none
org.dependencytrack.resources.v1,AnalysisResourceTest,updateAnalysisChangeStateTest,none,none,none
org.dependencytrack.util,HttpUtilTest,testBasicAuthHeaderValue,none,none,none
org.dependencytrack.event,BomUploadEvent,getFile,none,none,none
org.dependencytrack.event,InternalAnalysisEvent,.,none,none,none
org.dependencytrack.model,PortfolioMetrics,getPolicyViolationsLicenseUnaudited,none,none,none
org.dependencytrack.model,Project,getUuid,none,none,none
org.dependencytrack.model,Vulnerability,setPublished,none,none,none
org.dependencytrack.notification.publisher,MsTeamsPublisher,inform,us.springett:alpine,null,null
org.dependencytrack.notification.publisher,MsTeamsPublisher,inform,io.pebbletemplates:pebble,null,null
org.dependencytrack.parser.github.graphql.model,GitHubSecurityAdvisory,getSummary,none,none,none
org.dependencytrack.parser.npm.model,Advisory,setAccess,none,none,none
org.dependencytrack.persistence,DefaultObjectGenerator,loadDefaultRepositories,us.springett:alpine,null,null
org.dependencytrack.persistence,QueryManager,getProjectMetricsSince,none,none,none
org.dependencytrack.model,CpeTest,testUuid,none,none,none
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,configureDeployment,us.springett:alpine,null,null
org.dependencytrack.resources.v1,ProjectPropertyResourceTest,getPropertiesInvalidTest,none,none,none
org.dependencytrack.tasks.repositories,MavenMetaAnalyzerTest,testAnalyzer,com.github.package-url:packageurl-java,null,null
org.dependencytrack.model,Component,getPublisher,none,none,none
org.dependencytrack.model,Project,setId,none,none,none
org.dependencytrack.model,RepositoryMetaComponent,getPublished,none,none,none
org.dependencytrack.notification.vo,AnalysisDecisionChange,getVulnerability,none,none,none
org.dependencytrack.persistence,QueryManager,updateNotificationRule,none,none,none
org.dependencytrack.resources.v1,OidcResource,createGroup,us.springett:alpine,null,null
org.dependencytrack.tasks.repositories,IMetaAnalyzer,supportedRepositoryType,none,none,none
org.dependencytrack.tasks.scanners,BaseComponentAnalyzerTask,isEnabled,us.springett:alpine,null,null
org.dependencytrack.tasks.scanners,VulnDbAnalysisTask,.,us.springett:alpine,null,null
org.dependencytrack.integrations.fortifyssc,FortifySscUploaderTest,testIntegrationEnabledCases,us.springett:alpine,null,null
org.dependencytrack.policy,CoordinatesPolicyEvaluatorTest,.,none,none,none
org.dependencytrack.resources.v1,VulnerabilityResourceTest,getVulnerabilityByUuidInvalidTest,none,none,none
org.dependencytrack.event,MetricsUpdateEvent,.,us.springett:alpine,null,null
org.dependencytrack.model,ComponentAnalysisCache,getTarget,none,none,none
org.dependencytrack.model,DependencyMetrics,.,none,none,none
org.dependencytrack.model,ProjectMetrics,getPolicyViolationsLicenseAudited,none,none,none
org.dependencytrack.model,Vulnerability,setPatchedVersions,none,none,none
org.dependencytrack.persistence,DefaultObjectGenerator,.,us.springett:alpine,null,null
org.dependencytrack.persistence,LicenseQueryManager,getAllLicensesConcise,none,none,none
org.dependencytrack.persistence,MetricsQueryManager,getMostRecentDependencyMetrics,none,none,none
org.dependencytrack.persistence,QueryManager,getMetricsQueryManager,us.springett:alpine,null,null
org.dependencytrack.persistence,QueryManager,removeProjectFromNotificationRules,none,none,none
org.dependencytrack.policy,PolicyEngine,determineViolationType,none,none,none
org.dependencytrack.resources.v1,ServiceResource,getServiceByUuid,us.springett:alpine,null,null
org.dependencytrack.servlets,NvdMirrorServlet,.,us.springett:alpine,null,null
org.dependencytrack.common,ManagedHttpClientFactoryTest,.,none,none,none
org.dependencytrack.model,NotificationRuleTest,testName,none,none,none
org.dependencytrack.notification.publisher,SlackPublisherTest,beforeClass,org.mock-server:mockserver-netty,null,null
org.dependencytrack.notification.publisher,WebhookPublisherTest,.,org.mock-server:mockserver-netty,null,null
org.dependencytrack.resources.v1,PolicyResourceTest,getPoliciesTest,none,none,none
org.dependencytrack.integrations.defectdojo,DefectDojoUploader,isEnabled,us.springett:alpine,null,null
org.dependencytrack.integrations,PortfolioFindingUploader,.,none,none,none
org.dependencytrack.model,Component,getSha512,none,none,none
org.dependencytrack.model,ICpe,getEdition,none,none,none
org.dependencytrack.model,ProjectMetrics,setCritical,none,none,none
org.dependencytrack.parser.cyclonedx.util,ModelConverter,convertComponents,org.cyclonedx:cyclonedx-core-java,null,null
org.dependencytrack.persistence,DefaultObjectGenerator,loadDefaultLicenses,us.springett:alpine,null,null
org.dependencytrack.persistence,QueryManager,getPolicyQueryManager,us.springett:alpine,null,null
