packageName,className,methodName,api,mcrCategories,mcrTags
org.aksw.agdistis.webapp,RunApp,main,none,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,hashCode,none,none,none
org.aksw.agdistis.algorithm,DomainWhiteLister,fitsIntoDomain,none,none,none
org.aksw.agdistis.datatypes,NamedEntitiesInText,getValue,none,none,none
org.aksw.agdistis.graph,Node,.,none,none,none
org.aksw.agdistis.webapp,GetDisambiguation,NIFType,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.model,AgdistisEntity,toString,none,none,none
org.aksw.agdistis.util,TripleIndexCreator,createIndex,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.util,TripleIndexCreator,createIndex,org.apache.lucene:lucene-analyzers-common,null,null
org.aksw.agdistis.util,TripleIndexCreator,createIndex,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.datatypes,Document,equals,none,none,none
org.aksw.agdistis.algorithm,DomainWhiteLister,loadWhiteDomains,none,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,toString,none,none,none
org.aksw.agdistis.graph,Node,setActivation,none,none,none
org.aksw.agdistis.model,AgdistisEntity,compareTo,none,none,none
org.aksw.agdistis.model,NamedEntity,getType,none,none,none
org.aksw.agdistis.datatypes,Label,setLabel,none,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,getEdgeType,none,none,none
org.aksw.agdistis.model,AgdistisEntity,getDisambiguatedURL,none,none,none
org.aksw.agdistis.model,FrontendContent,setEntities,none,none,none
org.aksw.agdistis.algorithm,CorporationAffixCleaner,loadCorporationAffixes,none,none,none
org.aksw.agdistis.util,Stemming,.,edu.stanford.nlp:stanford-corenlp,null,null
org.aksw.agdistis.algorithm,CandidateUtil,getIndex,none,none,none
org.aksw.agdistis.graph,Node,setHubWeightForCalculation,none,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,setHeuristicExpansionOn,none,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,indexTTLFile,org.openrdf.sesame:sesame-rio-turtle,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,indexTTLFile,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,PreprocessingNLP,Preprocessing,none,none,none
org.aksw.agdistis.util,Word2num,main,none,none,none
null,TripleIndexCreatorTest,testMinimalOntologyExample,com.google.guava:guava,null,null
null,TripleIndexCreatorTest,testMinimalOntologyExample,junit:junit,null,null
null,HitsTest,testSimpleHITS,junit:junit,null,null
null,HitsTest,testSimpleHITS,net.sf.jung:jung-graph-impl,null,null
null,AGDISTISTest,testUmlaute,junit:junit,null,null
null,TripleIndexTest,testMultipleTermsPerField,junit:junit,null,null
null,TripleIndexTest,testMultipleTermsPerField,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.graph,Node,getSuccessors,none,none,none
org.aksw.agdistis.model,FrontendContent,getText,none,none,none
org.aksw.agdistis.util,TripleIndexContext,.,commons-validator:commons-validator,null,null
org.aksw.agdistis.util,TripleIndexContext,.,com.google.guava:guava,null,null
org.aksw.agdistis.util,TripleIndexContext,.,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.util,TripleIndexContext,.,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.datatypes,DocumentText,getText,none,none,none
org.aksw.agdistis.util,Triple,getObject,none,none,none
org.aksw.agdistis.graph,Node,toString,none,none,none
org.aksw.agdistis.util,TripleIndex,setIndex,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.algorithm,CandidateUtil,insertCandidatesIntoText,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.algorithm,CandidateUtil,insertCandidatesIntoText,net.sf.jung:jung-graph-impl,null,null
org.aksw.agdistis.model,AgdistisEntity,setEnd,none,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,createIndex,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,createIndex,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,createIndex,org.apache.lucene:lucene-analyzers-common,null,null
org.aksw.agdistis.algorithm,NEDAlgo_HITS,.,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.datatypes,Candidate,setId,none,none,none
org.aksw.agdistis.datatypes,DocumentText,equals,none,none,none
org.aksw.agdistis.datatypes,Candidate,toString,none,none,none
org.aksw.agdistis.model,Result,toString,none,none,none
org.aksw.agdistis.util,TripleIndexCreator,close,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.datatypes,NamedEntitiesInText,.,none,none,none
org.aksw.agdistis.graph,Node,equals,none,none,none
org.aksw.agdistis.graph,Node,setUnnormalizedAuthorityWeight,none,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,getLabel,none,none,none
org.aksw.agdistis.model,NamedEntity,hashCode,none,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,search,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,search,org.slf4j:slf4j-api,null,null
null,TripleIndexTest,testRedirects,org.slf4j:slf4j-api,null,null
null,TripleIndexTest,testRedirects,junit:junit,null,null
org.aksw.agdistis.graph,Node,setAuthorityWeightForCalculation,none,none,none
org.aksw.agdistis.webapp,RestletApplication,createInboundRoot,none,none,none
org.aksw.agdistis.algorithm,NamedEntityLengthComparator,.,none,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,compareTo,none,none,none
org.aksw.agdistis.algorithm,CandidateUtil,searchbyAcronym,none,none,none
org.aksw.agdistis.graph,Node,setUnnormalizedHubWeight,none,none,none
org.aksw.agdistis.model,NamedEntity,equals,none,none,none
null,TripleIndexTest,testType,org.slf4j:slf4j-api,null,null
null,TripleIndexTest,testType,junit:junit,null,null
org.aksw.agdistis.datatypes,Candidate,getLabel,none,none,none
org.aksw.agdistis.graph,HITS,runHits,none,none,none
org.aksw.agdistis.graph,Node,compareTo,none,none,none
org.aksw.agdistis.algorithm,DomainWhiteLister,.,none,none,none
org.aksw.agdistis.datatypes,DocumentText,.,none,none,none
org.aksw.agdistis.datatypes,Candidate,hashCode,none,none,none
org.aksw.agdistis.util,Triple,setObject,none,none,none
org.aksw.agdistis.algorithm,CandidateUtil,searchCandidatesByLabel,none,none,none
org.aksw.agdistis.algorithm,CandidateUtil,redirect,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.algorithm,NEDAlgo_HITS,close,none,none,none
org.aksw.agdistis.graph,Node,containsId,none,none,none
org.aksw.agdistis.webapp,GetDisambiguation,postText,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,getFromIndex,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,getFromIndex,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.algorithm,NamedEntityLengthComparator,compare,none,none,none
org.aksw.agdistis.util,TripleIndexCreator,indexTTLFile,org.openrdf.sesame:sesame-rio-turtle,null,null
org.aksw.agdistis.util,TripleIndexCreator,indexTTLFile,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.graph,Node,getLabels,none,none,none
org.aksw.agdistis.algorithm,CandidateUtil,heuristicExpansion,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.model,Result,equals,none,none,none
org.aksw.agdistis.model,AgdistisEntity,getNamedEntity,none,none,none
org.aksw.agdistis.model,FrontendContent,.,none,none,none
org.aksw.agdistis.util,TripleIndex,search,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.util,TripleIndex,search,org.apache.commons:commons-lang3,null,null
org.aksw.agdistis.util,TripleIndex,search,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndex,search,com.google.guava:guava,null,null
org.aksw.agdistis.util,TripleIndex,search,commons-validator:commons-validator,null,null
org.aksw.agdistis.util,TripleIndex,search,org.apache.lucene:lucene-queryparser,null,null
org.aksw.agdistis.model,NamedEntity,compareTo,none,none,none
org.aksw.agdistis.model,AgdistisEntity,setDisambiguatedURL,none,none,none
org.aksw.agdistis.datatypes,Candidate,setDescription,none,none,none
org.aksw.agdistis.model,CandidatesScore,setStart,none,none,none
org.aksw.agdistis.datatypes,Label,setTextHasLabelId,none,none,none
org.aksw.agdistis.model,CandidatesScore,getUri,none,none,none
org.aksw.agdistis.datatypes,NamedEntitiesInText,toString,none,none,none
org.aksw.agdistis.model,Result,setDetectedLanguage,none,none,none
org.aksw.agdistis.graph,Node,getPredecessors,none,none,none
org.aksw.agdistis.datatypes,NamedEntitiesInText,getNamedEntities,none,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,setStartPos,none,none,none
org.aksw.agdistis.model,FrontendContent,getEntities,none,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,setType,none,none,none
org.aksw.agdistis.webapp,GetDisambiguation,.,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.algorithm,CandidateUtil,addNodeToGraph,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.algorithm,CandidateUtil,addNodeToGraph,net.sf.jung:jung-graph-impl,null,null
org.aksw.agdistis.model,NamedEntity,setNamedEntity,none,none,none
org.aksw.agdistis.datatypes,Label,toString,none,none,none
org.aksw.agdistis.algorithm,CandidateUtil,.,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.algorithm,CandidateUtil,.,org.apache.lucene:lucene-spellchecker,null,null
org.aksw.agdistis.datatypes,Candidate,.,none,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,getNodeType,none,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,setNodeType,none,none,none
org.aksw.agdistis.graph,Node,hashCode,none,none,none
org.aksw.agdistis.model,NamedEntity,.,none,none,none
org.aksw.agdistis.model,Result,getDetectedLanguage,none,none,none
org.aksw.agdistis.util,Triple,getSubject,none,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,setMaxDepth,none,none,none
org.aksw.agdistis.datatypes,Label,getCandidates,none,none,none
org.aksw.agdistis.model,NamedEntity,toString,none,none,none
org.aksw.agdistis.datatypes,DocumentText,getValue,none,none,none
null,TripleIndexTest,testRdfsLabel,junit:junit,null,null
null,TripleIndexTest,testRdfsLabel,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.datatypes,DocumentText,setText,none,none,none
org.aksw.agdistis.graph,PageRank,computeDistance,none,none,none
null,TripleIndexTest,.,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.graph,Node,getCandidateURI,none,none,none
org.aksw.agdistis.graph,Node,removePredecessor,none,none,none
null,AGDISTISTest,testContext,junit:junit,null,null
org.aksw.agdistis.graph,Node,setPageRankNew,none,none,none
org.aksw.agdistis.graph,Node,setAuthorityWeight,none,none,none
null,TripleIndexTest,testdirectLink,junit:junit,null,null
null,TripleIndexTest,testdirectLink,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.algorithm,CandidateUtil,searchCandidatesByContext,none,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,updateIndex,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,updateIndex,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.datatypes,Document,DocumentText,none,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,sparql,none,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,addDocumentToIndex,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,addDocumentToIndex,org.slf4j:slf4j-api,null,null
null,AGDISTISTest,testinterpunctation,junit:junit,null,null
org.aksw.agdistis.graph,BreadthFirstSearch,run,net.sf.jung:jung-graph-impl,null,null
org.aksw.agdistis.model,AgdistisEntity,hashCode,none,none,none
org.aksw.agdistis.model,FrontendContent,hashCode,none,none,none
org.aksw.agdistis.util,TripleIndexCreator,addDocumentToIndex,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.util,TripleIndexCreator,addDocumentToIndex,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndexCreator,indexTSVFile,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndexCreator,indexTSVFile,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.algorithm,NEDAlgo_HITS,setIndex,none,none,none
org.aksw.agdistis.util,Stemming,main,none,none,none
org.aksw.agdistis.util,Triple,compareTo,none,none,none
org.aksw.agdistis.util,Word2num,.,none,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,getSingleWordLabel,none,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,setDomain,none,none,none
org.aksw.agdistis.graph,HITS,.,none,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,equals,none,none,none
org.aksw.agdistis.model,NamedEntity,getNamedEntity,none,none,none
org.aksw.agdistis.util,Triple,toString,none,none,none
org.aksw.agdistis.algorithm,CandidateUtil,isDisambiguationResource,none,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,main,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,main,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.algorithm,CandidateUtil,close,none,none,none
org.aksw.agdistis.datatypes,NamedEntitiesInText,iterator,none,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,getNamedEntityUri,none,none,none
org.aksw.agdistis.datatypes,DocumentText,parseValue,none,none,none
org.aksw.agdistis.model,Result,hashCode,none,none,none
null,TripleIndexCreatorTest,.,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.model,CandidatesScore,compareTo,none,none,none
null,TripleIndexTest,close,junit:junit,null,null
null,TripleIndexTest,close,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.datatypes,NamedEntityInText,setLength,none,none,none
org.aksw.agdistis.model,AgdistisEntity,equals,none,none,none
org.aksw.agdistis.model,NamedEntity,setOffset,none,none,none
org.aksw.agdistis.util,TripleIndex,getFromIndex,org.slf4j:slf4j-api,null,null
org.aksw.agdistis.util,TripleIndex,getFromIndex,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.graph,BreadthFirstSearch,.,none,none,none
org.aksw.agdistis.algorithm,CorporationAffixCleaner,.,none,none,none
org.aksw.agdistis.util,LiteralAnalyzer,.,org.apache.lucene:lucene-core,null,null
org.aksw.agdistis.datatypes,NamedEntityInText,.,none,none,none
org.aksw.agdistis.datatypes,Document,setDocumentId,none,none,none
org.aksw.agdistis.datatypes,Label,.,none,none,none
