packageName,className,methodName,api,mcrCategories,mcrTags
com.novetta.clavin.util,Null,hashCode,none,none,none
com.novetta.clavin.extractor,ApacheExtractor,.,org.apache.opennlp:opennlp-tools,Natural Language Processing,"nlp,tools,apache"
com.novetta.clavin.gazetteer,BasicGeoName,setParent,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j"
com.novetta.clavin.extractor,ApacheExtractorTest,testNullInput,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer,BasicGeoNameTest,testNoPrimaryCountryCode,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer,BasicGeoName,getAdmin1Code,none,none,none
com.novetta.clavin.gazetteer,BasicGeoNameTest,.,none,none,none
com.novetta.clavin.gazetteer,BasicGeoNameTest,testAllAttributes,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.resolver,ClavinLocationResolverTest,resolveNoHeuristics,none,none,none
com.novetta.clavin.gazetteer,BasicGeoName,getFeatureClass,none,none,none
com.novetta.clavin.gazetteer,LazyAncestryGeoName,getPrimaryCountryCode,none,none,none
com.novetta.clavin.gazetteer.query,LuceneGazetteer,executeQuery,org.apache.lucene:lucene-queryparser,none,"lucene,apache,index"
com.novetta.clavin.gazetteer.query,LuceneGazetteer,executeQuery,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index"
com.novetta.clavin.resolver.multipart,ResolvedMultipartLocation,equals,none,none,none
com.novetta.clavin.gazetteer,GeoName,getAsciiName,none,none,none
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testResolveAncestry,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer,LazyAncestryGeoName,setParent,none,none,none
com.novetta.clavin.gazetteer.query,QueryBuilder,addFeatureCodes,none,none,none
com.novetta.clavin.gazetteer.query,QueryBuilder,fuzzyMode,none,none,none
com.novetta.clavin.gazetteer.query,QueryBuilder,clearFeatureCodes,none,none,none
com.novetta.clavin.util,InfiniteCharArray,get,none,none,none
com.novetta.clavin.extractor,TextBody,setText,none,none,none
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testLoadAncestry,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.resolver,ResolvedLocation,toString,none,none,none
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testResolveLocations_Fuzzy,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.resolver,ClavinLocationResolverTest,makeOccurrencesFromNames,none,none,none
