packageName,className,methodName,api,mcrCategories,mcrTags
org.aksw.palmetto.subsets,AbstractSegmentatorTest,compare,junit:junit,null,null
org.aksw.palmetto.subsets,AbstractSegmentatorTest,compare,com.carrotsearch:hppc,null,null
org.aksw.palmetto.vector,LogJaccardCoherenceCalculationTest,.,junit:junit,null,null
org.aksw.palmetto.evaluate.correlation,PearsonsSampleCorrelationCoefficient,calculateRankCorrelation,none,none,none
org.aksw.palmetto.calculations.direct,ShogenjisCoherenceCalculationTest,.,junit:junit,null,null
org.aksw.palmetto.calculations.indirect,VectorBasedConfirmationMeasure,.,none,none,none
org.aksw.palmetto.evaluate.correlation,SpearmanTest,data,junit:junit,null,null
org.aksw.palmetto.webapp.config,PalmettoConfiguration,loadAdditionalProperties,commons-configuration:commons-configuration,null,null
org.aksw.palmetto.webapp.config,PalmettoConfiguration,loadAdditionalProperties,org.slf4j:slf4j-api,null,null
org.aksw.palmetto.webapp,PalmettoApplication,cpService,org.slf4j:slf4j-api,null,null
org.aksw.palmetto.calculations.indirect,CosinusConfirmationMeasure,.,none,none,none
org.aksw.palmetto.prob.window,WindowBasedFrequencyDeterminer,getSlidingWindowModelName,none,none,none
org.aksw.palmetto.corpus.lucene,SimpleAnalyzerTest,testWithLowerCases,junit:junit,null,null
org.aksw.palmetto.aggregation,HarmonicMean,.,none,none,none
org.aksw.palmetto.prob.bd,BooleanDocumentProbabilitySupplierTest,test,junit:junit,null,null
org.aksw.palmetto.prob.bd,BooleanDocumentProbabilitySupplierTest,test,com.carrotsearch:hppc,null,null
org.aksw.palmetto.vector,LogCondProbCalculationBasedCreatorTest,.,junit:junit,null,null
org.aksw.palmetto.data,CountedSubsets,setCounts,none,none,none
org.aksw.palmetto,Palmetto,getWindowBasedProbabilityEstimator,none,none,none
org.aksw.palmetto.corpus.lucene.creation,AbstractLuceneIndexCreator,toLuceneDocument,org.apache.lucene:lucene-core,null,null
org.aksw.palmetto.io,GoldStandardReader,.,org.slf4j:slf4j-api,null,null
org.aksw.palmetto.subsets,OneOneAndSelf,.,none,none,none
org.aksw.palmetto.subsets,OneAllTest,testWordSetLength4,junit:junit,null,null
org.aksw.palmetto.corpus.lucene.creation,LuceneIndexHistogramCreator,storeHistogram,org.slf4j:slf4j-api,null,null
org.aksw.palmetto.subsets,AnyAnyTest,.,junit:junit,null,null
org.aksw.palmetto.corpus,BooleanDocumentSupportingAdapter,getDocumentsWithWordAsSet,com.carrotsearch:hppc,null,null
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,requestWordPositionsInDocuments,com.carrotsearch:hppc,null,null
org.aksw.palmetto,DirectConfirmationBasedCoherence,.,none,none,none
org.aksw.palmetto.io,GoldStandardReader,readGoldStandardSavely,org.slf4j:slf4j-api,null,null
org.aksw.palmetto.sum,AbstractSummarizationTest,test,junit:junit,null,null
org.aksw.palmetto.vector,ProbabilityBasedVectorCreatorTest,data,junit:junit,null,null
org.aksw.palmetto,DirectConfirmationBasedCoherence,getName,none,none,none
org.aksw.palmetto.io,DocumentTextSupplier,.,none,none,none
org.aksw.palmetto.vector,ProbabilityBasedVectorCreator,.,none,none,none
org.aksw.palmetto.prob.bd,BooleanDocumentFrequencyDeterminerPerformanceTest,data,junit:junit,null,null
org.aksw.palmetto.prob.bd,BooleanDocumentFrequencyDeterminerPerformanceTest,data,com.carrotsearch:hppc,null,null
org.aksw.palmetto.weight,CompleteProbabilityBasedWeighterTest,.,junit:junit,null,null
org.aksw.palmetto.prob.bd,BooleanDocumentFrequencyDeterminerPerformanceTest,.,junit:junit,null,null
org.aksw.palmetto.sum,MaxTest,data,junit:junit,null,null
org.aksw.palmetto.aggregation,GeometricMean,toString,none,none,none
org.aksw.palmetto.aggregation,QuadraticMean,toString,none,none,none
org.aksw.palmetto.subsets,OnePreceding,getName,none,none,none
org.aksw.palmetto.vector,AbstractVectorCreatorTest,getProbabilities,none,none,none
org.aksw.palmetto.prob.window,ContextWindowFrequencyDeterminer,getCooccurrenceCounts,none,none,none
org.aksw.palmetto.subsets,OneAny,getSubsetDefinitionWithRestrictions,com.carrotsearch:hppc,null,null
org.aksw.palmetto.vector,FitelsonCalculationBasedCreatorTest,data,junit:junit,null,null
org.aksw.palmetto.aggregation,QuadraticMean,.,none,none,none
org.aksw.palmetto.calculations.direct,LogJaccardConfirmationMeasure,getName,none,none,none
org.aksw.palmetto.calculations.direct,ShogenjisConfirmationMeasure,getName,none,none,none
org.aksw.palmetto.evaluate.correlation,KendallsTau,.,none,none,none
org.aksw.palmetto.evaluate.correlation,PearsonsSampleCorrelationCoefficient,calculateCoVariances,none,none,none
