packageName,className,methodName,mcrCategories,mcrTags
org.dependencytrack.persistence,QueryManager,getProjectQueryManager,null,null
org.dependencytrack.resources.v1,ComponentResource,updateComponent,null,null
org.dependencytrack.resources.v1,OidcResource,isAvailable,null,null
org.dependencytrack.resources.v1,PolicyResource,createPolicy,null,null
org.dependencytrack.util,VulnerabilityUtil,normalizedCvssV2Score,none,none
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,addTeamToUserInvalidTeamTest,null,null
org.dependencytrack.tasks.repositories,HexMetaAnalyzerTest,testAnalyzer,null,null
org.dependencytrack.model,Bom,setId,none,none
org.dependencytrack.model,Component,setId,none,none
org.dependencytrack.model,PortfolioMetrics,setPolicyViolationsTotal,none,none
org.dependencytrack.model,ProjectProperty,.,null,null
org.dependencytrack.persistence,QueryManager,commitSearchIndex,null,null
org.dependencytrack.resources.v1,VulnerabilityResource,getVulnerabilitiesByComponent,null,null
org.dependencytrack.search,IndexManagerFactory,getIndexManager,null,null
org.dependencytrack.upgrade.v400,v400Updater,getSchemaVersion,none,none
org.dependencytrack.util,ComponentVersion,.,none,none
org.dependencytrack.integration,PopulateData,doit,none,none
org.dependencytrack.model,ProjectPropertyTest,testGroupName,none,none
org.dependencytrack.model,RepositoryTypeTest,testResolveGem,null,null
org.dependencytrack.policy,PackageURLPolicyEvaluatorTest,wrongOperator,null,null
org.dependencytrack.resources.v1,CalculatorResourceTest,getCvssScoresV2Test,none,none
org.dependencytrack.search,VulnerabilityIndexerTest,getIndexTypeTest,none,none
org.dependencytrack.model,Analysis,setAnalysisState,none,none
org.dependencytrack.model,Cpe,setProduct,none,none
org.dependencytrack.model,Cpe,setSwEdition,none,none
org.dependencytrack.model,LicenseGroup,getUuid,none,none
org.dependencytrack.model,NotificationRule,setNotificationLevel,null,null
org.dependencytrack.model,ProjectMetrics,setMedium,none,none
org.dependencytrack.model,Repository,getType,none,none
org.dependencytrack.persistence,PolicyQueryManager,reconcilePolicyViolations,null,null
org.dependencytrack.model,RepositoryMetaComponentTest,testName,none,none
org.dependencytrack.policy,VersionPolicyEvaluatorTest,setUp,none,none
org.dependencytrack.event,EventSubsystemInitializer,contextDestroyed,null,null
org.dependencytrack.model,Component,setResolvedLicense,none,none
org.dependencytrack.model,DependencyMetrics,setFindingsTotal,none,none
org.dependencytrack.model,ICpe,setCpe22,none,none
org.dependencytrack.model,ICpe,setUpdate,none,none
org.dependencytrack.parser.cyclonedx.util,ModelConverter,generateDependencies,null,null
org.dependencytrack.parser.cyclonedx.util,ModelConverter,generateDependencies,null,null
org.dependencytrack.util,ComponentVersion,setVersionParts,none,none
org.dependencytrack.model,LicenseGroupTest,testName,none,none
org.dependencytrack.model,PolicyTest,testOperator,none,none
org.dependencytrack.notification,NotificationRouterTest,testValidMatchingRule,null,null
org.dependencytrack.persistence,CweImporterTest,.,none,none
org.dependencytrack.resources.v1,LicenseResourceTest,getLicense,none,none
org.dependencytrack.resources.v1,PermissionResourceTest,addPermissionToUserTest,null,null
org.dependencytrack.resources.v1,PolicyResourceTest,deletePolicyCascadingTest,null,null
org.dependencytrack.resources.v1,VulnerabilityResourceTest,updateVulnerabilityInvalidTest,none,none
org.dependencytrack.common,ManagedHttpClientFactory,.,null,null
org.dependencytrack.parser.npm.model,AdvisoryResults,.,none,none
org.dependencytrack.resources.v1,FindingResource,getFindingsByProject,null,null
org.dependencytrack.resources.v1,PolicyResource,getPolicies,null,null
