packageName,className,apis
org.dependencytrack.persistence,VulnerableSoftwareQueryManager,[us.springett:alpine]
org.dependencytrack.resources.v1,BomResourceTest,[us.springett:alpine]
org.dependencytrack.tasks.scanners,VulnDbAnalysisTask,"[us.springett:alpine,us.springett:vulndb-data-mirror]"
org.dependencytrack.persistence,ProjectQueryManager,"[com.github.package-url:packageurl-java,us.springett:alpine]"
org.dependencytrack.tasks.repositories,IMetaAnalyzer,[com.github.package-url:packageurl-java]
org.dependencytrack.model,OrganizationalContact,[us.springett:alpine]
org.dependencytrack.search,VulnerabilityIndexer,"[org.apache.lucene:lucene-core,us.springett:alpine]"
org.dependencytrack.policy,SwidTagIdPolicyEvaluator,[us.springett:alpine]
org.dependencytrack.tasks,BomUploadProcessingTask,"[org.cyclonedx:cyclonedx-core-java,us.springett:alpine]"
org.dependencytrack.event,VulnDbSyncEvent,[us.springett:alpine]
org.dependencytrack.integrations.fortifyssc,FortifySscUploaderTest,[us.springett:alpine]
org.dependencytrack.event,CloneProjectEvent,[us.springett:alpine]
org.dependencytrack.upgrade.v410,v410Updater,[us.springett:alpine]
org.dependencytrack.resources.v1,CweResourceTest,[us.springett:alpine]
org.dependencytrack.event,PortfolioVulnerabilityAnalysisEvent,[us.springett:alpine]
org.dependencytrack.tasks.repositories,PypiMetaAnalyzer,"[com.github.package-url:packageurl-java,com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.resources.v1,RepositoryResourceTest,[us.springett:alpine]
org.dependencytrack.common,ManagedHttpClientFactory,[us.springett:alpine]
org.dependencytrack.event,VulnerabilityAnalysisEvent,[us.springett:alpine]
org.dependencytrack.integration,ApiClient,[com.konghq:unirest-java]
org.dependencytrack.resources.v1,BomResource,"[org.cyclonedx:cyclonedx-core-java,us.springett:alpine]"
org.dependencytrack.tasks,InternalComponentIdentificationTask,[us.springett:alpine]
org.dependencytrack.tasks.scanners,NpmAuditAnalysisTask,"[com.github.package-url:packageurl-java,com.konghq:unirest-java,us.springett:alpine]"
