packageName,className,apis
org.aksw.palmetto.calculations.direct,LogLikelihoodCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.corpus.lucene,SlidingWindowCounter,[com.carrotsearch:hppc]
org.aksw.palmetto.webapp,PerformanceTest,[commons-io:commons-io]
org.aksw.palmetto.sum,GeometricMeanTest,[junit:junit]
org.aksw.palmetto.evaluate.correlation,KendallsTauTest,[junit:junit]
org.aksw.palmetto.prob.window,AbstractWindowBasedFrequencyDeterminer,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.indirect,CosinusBasedCalculationTest,[junit:junit]
org.aksw.palmetto.sum,MinTest,[junit:junit]
org.aksw.palmetto.prob.bd,BooleanDocumentFrequencyDeterminerPerformanceTest,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.webapp,DfClient,"[commons-io:commons-io,junit:junit,org.springframework:spring-test]"
org.aksw.palmetto.calculations.direct,CondProbCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.calculations.direct,JaccardCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.calculations.indirect,AbstractVectorBasedCoherenceTest,[junit:junit]
org.aksw.palmetto.vector,LogJaccardCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.subsets,OneAll,[com.carrotsearch:hppc]
org.aksw.palmetto.sum,MedianTest,[junit:junit]
org.aksw.palmetto.vector,LogRatioCalculationBasedCreatorTest,[junit:junit]
org.aksw.palmetto.calculations.direct,ShogenjisCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,"[com.carrotsearch:hppc,org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.palmetto.io,SimpleDocumentTextSupplier,[org.slf4j:slf4j-api]
org.aksw.palmetto.prob,BooleanSlidingWindowFrequencyDeterminerSumCreationTest,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.calculations.direct,NormalizedLogRatioCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,"[com.carrotsearch:hppc,org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.palmetto.corpus.lucene.creation,LuceneIndexHistogramCreator,"[com.carrotsearch:hppc,org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.palmetto.vector,NormalizedLogRatioCalculationBasedCreatorTest,[junit:junit]
org.aksw.palmetto.corpus.lucene.creation,SimpleLuceneIndexCreatorTest,"[com.carrotsearch:hppc,junit:junit,org.apache.lucene:lucene-core]"
org.aksw.palmetto.prob,ContextWindowFrequencyDeterminerCountingTest,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.weight,MarginalProbabilityBasedWeighterTest,[junit:junit]
org.aksw.palmetto.weight,WordSetSizeBasedWeighterTest,[junit:junit]
org.aksw.palmetto.corpus,WindowSupportingAdapter,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.direct,FitelsonCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.calculations.indirect,JaccardBasedCoherenceTest,[junit:junit]
org.aksw.palmetto.subsets,OnePrecedingTest,[junit:junit]
org.aksw.palmetto.sum,MaxTest,[junit:junit]
org.aksw.palmetto.prob.window,BooleanSlidingWindowFrequencyDeterminer,[com.carrotsearch:hppc]
org.aksw.palmetto.subsets,OneOneTest,[junit:junit]
org.aksw.palmetto.subsets,OnePreceding,[com.carrotsearch:hppc]
