packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,org.apache.lucene:lucene-core,null,null,15,46,0.33
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,junit:junit,null,null,28,46,0.61
com.stratio.cassandra.lucene.search.condition,GeoShapeConditionTest,org.apache.lucene:lucene-spatial,null,null,3,46,0.07
com.stratio.cassandra.lucene.search.condition,LuceneCondition,org.apache.lucene:lucene-queryparser,null,null,10,13,0.77
com.stratio.cassandra.lucene.search.condition,LuceneCondition,org.apache.lucene:lucene-core,null,null,3,13,0.23
com.stratio.cassandra.lucene.search.sort.builder,GeoDistanceSortFieldBuilderTest,junit:junit,null,null,22,22,1.0
com.stratio.cassandra.lucene.testsAT.issues,Issue177IT,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,12,15,0.8
com.stratio.cassandra.lucene.testsAT.issues,Issue177IT,junit:junit,null,null,3,15,0.2
com.stratio.cassandra.lucene.testsAT.udt,TupleIndexingIT,junit:junit,null,null,8,89,0.09
com.stratio.cassandra.lucene.testsAT.udt,TupleIndexingIT,com.datastax.cassandra:cassandra-driver-core,null,null,39,89,0.44
com.stratio.cassandra.lucene.testsAT.udt,TupleIndexingIT,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,42,89,0.47
com.stratio.cassandra.lucene.search.condition,PrefixCondition,org.apache.lucene:lucene-core,null,null,6,6,1.0
com.stratio.cassandra.lucene.testsAT.issues,Issue158IT,junit:junit,null,null,3,40,0.08
com.stratio.cassandra.lucene.testsAT.issues,Issue158IT,com.datastax.cassandra:cassandra-driver-core,null,null,7,40,0.18
com.stratio.cassandra.lucene.testsAT.issues,Issue158IT,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,30,40,0.75
com.stratio.cassandra.lucene.search.condition,GeoShapeCondition,org.apache.lucene:lucene-spatial,null,null,8,9,0.89
com.stratio.cassandra.lucene.search.condition,GeoShapeCondition,org.apache.lucene:lucene-core,null,null,1,9,0.11
com.stratio.cassandra.lucene.common,GeoShape,com.vividsolutions:jts-core,null,null,20,20,1.0
com.stratio.cassandra.lucene.schema.mapping,BooleanMapperTest,junit:junit,null,null,48,62,0.77
com.stratio.cassandra.lucene.schema.mapping,BooleanMapperTest,org.apache.lucene:lucene-core,null,null,14,62,0.23
com.stratio.cassandra.lucene.testsAT.varia,TestBooleanExtremeClauses,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,10,15,0.67
com.stratio.cassandra.lucene.testsAT.varia,TestBooleanExtremeClauses,junit:junit,null,null,5,15,0.33
com.stratio.cassandra.lucene.testsAT.varia,AllowFilteringWith1000MixedRowsIT,junit:junit,null,null,10,10,1.0
com.stratio.cassandra.lucene.schema.mapping,BitemporalMapperTest,org.apache.cassandra:cassandra-all,null,null,2,99,0.02
com.stratio.cassandra.lucene.schema.mapping,BitemporalMapperTest,org.apache.lucene:lucene-core,null,null,26,99,0.26
com.stratio.cassandra.lucene.schema.mapping,BitemporalMapperTest,junit:junit,null,null,71,99,0.72
com.stratio.cassandra.lucene.testsAT.util,CassandraUtils,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,34,86,0.4
com.stratio.cassandra.lucene.testsAT.util,CassandraUtils,junit:junit,null,null,5,86,0.06
com.stratio.cassandra.lucene.testsAT.util,CassandraUtils,com.datastax.cassandra:cassandra-driver-core,null,null,47,86,0.55
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,BigIntegerMapperValidTypesIndexCreationIT,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,9,15,0.6
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,BigIntegerMapperValidTypesIndexCreationIT,junit:junit,null,null,6,15,0.4
com.stratio.cassandra.lucene.testsAT.story,ComposedKeyIndexHandlingIT,junit:junit,null,null,9,15,0.6
com.stratio.cassandra.lucene.testsAT.story,ComposedKeyIndexHandlingIT,com.stratio.cassandra:cassandra-lucene-index-builder,null,null,6,15,0.4
