packageName,className,methodName,apis
org.aksw.palmetto.prob.bd,ListBasedBooleanDocumentFrequencyDeterminer,createCounts,[com.carrotsearch:hppc]
org.aksw.palmetto.prob,BooleanSlidingWindowFrequencyDeterminerCountingTest,test,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.weight,CompleteProbabilityBasedWeighterTest,data,[junit:junit]
org.aksw.palmetto.calculations.direct,LogJaccardCoherenceCalculationTest,"",[junit:junit]
org.aksw.palmetto.prob.decorator,SimpleFrequencyCachingDeterminerDecorator,determineCounts,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.indirect,DiceBasedCalculationTest,"",[junit:junit]
org.aksw.palmetto.calculations.direct,LogLikelihoodCoherenceCalculationTest,"",[junit:junit]
org.aksw.palmetto.corpus.lucene,SimpleAnalyzerTest,normalTest,[junit:junit]
org.aksw.palmetto.webapp,PalmettoApplication,requestDocFreq,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.direct,RatioCoherenceCalculationTest,data,[junit:junit]
org.aksw.palmetto.calculations.indirect,VectorCreationTest,data,[junit:junit]
org.aksw.palmetto.vector,LogJaccardCoherenceCalculationTest,data,[junit:junit]
org.aksw.palmetto.subsets,AllAllTest,testWordSetLength4,[junit:junit]
org.aksw.palmetto.calculations.direct,CondProbCoherenceCalculationTest,data,[junit:junit]
org.aksw.palmetto.subsets,OneSubsequentTest,testWordSetLength4,[junit:junit]
org.aksw.palmetto.sum,GeometricMeanTest,"",[junit:junit]
org.aksw.palmetto.evaluate.correlation,KendallsTauTest,"",[junit:junit]
org.aksw.palmetto.subsets,AbstractSegmentatorTest,compare,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.calculations.indirect,CosinusBasedCalculationTest,"",[junit:junit]
org.aksw.palmetto.sum,MinTest,"",[junit:junit]
org.aksw.palmetto.evaluate.correlation,SpearmanTest,data,[junit:junit]
org.aksw.palmetto.webapp,PalmettoApplication,cpService,[org.slf4j:slf4j-api]
org.aksw.palmetto.webapp.config,PalmettoConfiguration,loadAdditionalProperties,"[commons-configuration:commons-configuration,org.slf4j:slf4j-api]"
org.aksw.palmetto.corpus.lucene,SimpleAnalyzerTest,testWithLowerCases,[junit:junit]
org.aksw.palmetto.prob.bd,BooleanDocumentFrequencyDeterminerPerformanceTest,"",[junit:junit]
org.aksw.palmetto.prob.bd,BooleanDocumentProbabilitySupplierTest,test,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.webapp,DfClient,"","[junit:junit,org.springframework:spring-test]"
org.aksw.palmetto.corpus.lucene.creation,AbstractLuceneIndexCreator,toLuceneDocument,[org.apache.lucene:lucene-core]
org.aksw.palmetto.subsets,OneAllTest,testWordSetLength4,[junit:junit]
org.aksw.palmetto.corpus.lucene.creation,LuceneIndexHistogramCreator,storeHistogram,[org.slf4j:slf4j-api]
org.aksw.palmetto.calculations.direct,CondProbCoherenceCalculationTest,"",[junit:junit]
org.aksw.palmetto.corpus,BooleanDocumentSupportingAdapter,getDocumentsWithWordAsSet,[com.carrotsearch:hppc]
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,requestWordPositionsInDocuments,[com.carrotsearch:hppc]
org.aksw.palmetto.io,GoldStandardReader,readGoldStandardSavely,[org.slf4j:slf4j-api]
org.aksw.palmetto.sum,AbstractSummarizationTest,test,[junit:junit]
org.aksw.palmetto.vector,ProbabilityBasedVectorCreatorTest,data,[junit:junit]
org.aksw.palmetto.prob.bd,BooleanDocumentFrequencyDeterminerPerformanceTest,data,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.sum,MaxTest,data,[junit:junit]
org.aksw.palmetto.calculations.direct,JaccardCoherenceCalculationTest,"",[junit:junit]
org.aksw.palmetto.subsets,OneAny,getSubsetDefinitionWithRestrictions,[com.carrotsearch:hppc]
org.aksw.palmetto.vector,FitelsonCalculationBasedCreatorTest,data,[junit:junit]
org.aksw.palmetto.prob,AbstractBooleanDocumentSupportingAdapterBasedTest,getDocumentsWithWords,[com.carrotsearch:hppc]
org.aksw.palmetto.vector,LogJaccardCoherenceCalculationTest,"",[junit:junit]
org.aksw.palmetto.corpus.lucene,SimpleAnalyzer,createComponents,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
org.aksw.palmetto.data,SegmentationDefinition,setNeededCounts,[com.carrotsearch:hppc]
org.aksw.palmetto.evaluate.correlation,KendallsTauTest,test,[junit:junit]
org.aksw.palmetto.sum,MedianTest,"",[junit:junit]
org.aksw.palmetto.vector,LogRatioCalculationBasedCreatorTest,"",[junit:junit]
org.aksw.palmetto.calculations.direct,ShogenjisCoherenceCalculationTest,"",[junit:junit]
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,"","[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.palmetto.io,SimpleDocumentTextSupplier,"",[org.slf4j:slf4j-api]
org.aksw.palmetto.prob,BooleanSlidingWindowFrequencyDeterminerSumCreationTest,"",[junit:junit]
org.aksw.palmetto.prob,ListBasedBooleanDocumentFrequencyDeterminerTest,test,[junit:junit]
org.aksw.palmetto.calculations.direct,NormalizedLogRatioCoherenceCalculationTest,"",[junit:junit]
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminer,determineCounts,[com.carrotsearch:hppc]
org.aksw.palmetto.subsets,OneAnyTest,test,[junit:junit]
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,"","[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.palmetto.corpus.lucene.creation,LuceneIndexHistogramCreator,"",[org.slf4j:slf4j-api]
org.aksw.palmetto.vector,NormalizedLogRatioCalculationBasedCreatorTest,"",[junit:junit]
org.aksw.palmetto.vector,CondProbCalculationBasedCreatorTest,data,[junit:junit]
org.aksw.palmetto.prob,ContextWindowFrequencyDeterminerCountingTest,"",[junit:junit]
org.aksw.palmetto.weight,MarginalProbabilityBasedWeighterTest,"",[junit:junit]
org.aksw.palmetto.weight,WordSetSizeBasedWeighterTest,"",[junit:junit]
org.aksw.palmetto.vector,LikelihoodCalculationBasedCreatorTest,data,[junit:junit]
org.aksw.palmetto.weight,WordSetSizeBasedWeighterTest,data,[junit:junit]
org.aksw.palmetto.calculations.direct,FitelsonCoherenceCalculationTest,"",[junit:junit]
org.aksw.palmetto.calculations.indirect,JaccardBasedCoherenceTest,"",[junit:junit]
org.aksw.palmetto.calculations.direct,FitelsonCoherenceCalculationTest,data,[junit:junit]
org.aksw.palmetto.sum,MaxTest,"",[junit:junit]
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,getDocumentsWithWords,[com.carrotsearch:hppc]
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminerTest,test,[junit:junit]
org.aksw.palmetto.subsets,OneOneAndSelf,getSubsetDefinition,[com.carrotsearch:hppc]
org.aksw.palmetto.subsets,OneOneTest,testWordSetLength4,[junit:junit]
org.aksw.palmetto.subsets,AnyAny,getSubsetDefinitionWithoutRestrictions,[com.carrotsearch:hppc]
org.aksw.palmetto.subsets,OneOne,getSubsetDefinition,[com.carrotsearch:hppc]
org.aksw.palmetto.sum,ArithmeticMeanTest,data,[junit:junit]
org.aksw.palmetto.calculations.direct,JaccardCoherenceCalculationTest,data,[junit:junit]
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,close,[org.apache.lucene:lucene-core]
org.aksw.palmetto.vector,RatioCoherenceCalculationTest,data,[junit:junit]
org.aksw.palmetto.webapp,DfClient,main,[commons-io:commons-io]
org.aksw.palmetto.vector,AbstractProbCalcBasedVectorCreatorTest,testCreatorName,[junit:junit]
org.aksw.palmetto.calculations.indirect,JaccardBasedCalculationTest,"",[junit:junit]
org.aksw.palmetto.corpus.lucene,SimpleAnalyzerTest,"",[junit:junit]
