packageName,className,methodName,apis
com.novetta.clavin.index,IndexDirectoryBuilder,resolveUnresolved,[org.slf4j:slf4j-api]
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,setUp,[junit:junit]
com.novetta.clavin.index,IndexDirectoryBuilder,logUnresolved,[org.slf4j:slf4j-api]
com.novetta.clavin.extractor,ApacheExtractorTest,testExtractLocationNames,[junit:junit]
com.novetta.clavin,GeoParserFactoryTest,testGetDefault,[junit:junit]
com.novetta.clavin.gazetteer,LazyAncestryGeoNameTest,testGetParent_LazyResolve_NotResolved_FoundParent,"[junit:junit,org.mockito:mockito-core]"
com.novetta.clavin.index,IndexDirectoryBuilder,checkDescendantsResolved,[org.slf4j:slf4j-api]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testResolveLocations_RestrictedCodes,[junit:junit]
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,testNoHeuristics,[junit:junit]
com.novetta.clavin.resolver,LuceneLocationResolver,resolveLocations,"[org.apache.lucene:lucene-queryparser,org.slf4j:slf4j-api]"
com.novetta.clavin.gazetteer,BasicGeoNameTest,testTopLevelAncestryKeys,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testResolveLocations_NullLocationOccurrence,[junit:junit]
com.novetta.clavin.resolver.multipart,MultipartLocationResolver,findCandidates,[org.slf4j:slf4j-api]
com.novetta.clavin.index,BinarySimilarity,idfExplain,[org.apache.lucene:lucene-core]
com.novetta.clavin.resolver,ResolvedLocationTest,testEquals,[junit:junit]
com.novetta.clavin.extractor,AdaptNlpExtractor,extractLocationNames,"[com.fasterxml.jackson.core:jackson-databind,org.apache.httpcomponents:httpclient,org.apache.opennlp:opennlp-tools,org.slf4j:slf4j-api]"
com.novetta.clavin.index,IndexDirectoryBuilder,buildIndex,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
com.novetta.clavin.resolver,ClavinLocationResolverTest,setUp,[junit:junit]
com.novetta.clavin.resolver.multipart,MultiLevelMultipartLocationResolverTest,testResolveMultipartLocation,[junit:junit]
com.novetta.clavin.extractor,LocationOccurrenceTest,testEquals,[junit:junit]
com.novetta.clavin.gazetteer.query,UniqueFuzzyScoringRewrite,addClause,[org.apache.lucene:lucene-core]
com.novetta.clavin.resolver,ClavinLocationResolverTest,testSanitizedInput,[junit:junit]
com.novetta.clavin.util,DamerauLevenshteinTest,testDamerauLevenshteinDistance,[junit:junit]
com.novetta.clavin.resolver.multipart,MultipartLocationResolverTest,"",[junit:junit]
com.novetta.clavin.gazetteer,BasicGeoName,setParent,[org.slf4j:slf4j-api]
com.novetta.clavin.extractor,ApacheExtractorTest,testNullInput,[junit:junit]
com.novetta.clavin.gazetteer,BasicGeoNameTest,testNoPrimaryCountryCode,[junit:junit]
com.novetta.clavin.gazetteer,BasicGeoNameTest,testAllAttributes,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteer,executeQuery,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
com.novetta.clavin.resolver,ClavinLocationResolverTest,"",[org.slf4j:slf4j-api]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testResolveAncestry,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testLoadAncestry,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testResolveLocations_Fuzzy,[junit:junit]
com.novetta.clavin.extractor,ApacheExtractor,"",[org.apache.opennlp:opennlp-tools]
com.novetta.clavin.util,DamerauLevenshteinTest,testIsEditDistance1,[junit:junit]
com.novetta.clavin.gazetteer,BasicGeoNameTest,testIsAncestryResolved_FullResolution,[junit:junit]
com.novetta.clavin.gazetteer,BasicGeoNameTest,testNonEmptyAlternateCountryCodes,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteer,getClosestLocations,"[org.apache.lucene:lucene-queryparser,org.slf4j:slf4j-api]"
com.novetta.clavin.util,DamerauLevenshteinTest,testDamerauLevenshteinDistanceCaseInsensitive,[junit:junit]
com.novetta.clavin,GeoParser,"",[org.slf4j:slf4j-api]
com.novetta.clavin.gazetteer,LazyAncestryGeoNameTest,testGetParent_LazyResolve_AlreadyResolved,"[junit:junit,org.mockito:mockito-core]"
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,testHeuristicsEngland,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testGetNullGeoName,[junit:junit]
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,testHeuristicsOntario,[junit:junit]
com.novetta.clavin.resolver.multipart,MultipartLocationResolver,resolveLocation,[org.slf4j:slf4j-api]
com.novetta.clavin.gazetteer.query,LuceneGazetteer,"","[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,org.slf4j:slf4j-api]"
com.novetta.clavin.index,WhitespaceLowerCaseTokenizer,"",[org.apache.lucene:lucene-analyzers-common]
com.novetta.clavin.gazetteer.query,LuceneGazetteer,buildFilters,[org.apache.lucene:lucene-core]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testFindHistoricalLocations,[junit:junit]
com.novetta.clavin.resolver,ClavinLocationResolverTest,testIsDemonym,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testFilterDupes,[junit:junit]
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,testHeuristicsIllinois,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testBorderCases,[junit:junit]
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,testHeuristicsWA,[junit:junit]
com.novetta.clavin.gazetteer,BasicGeoNameTest,testSeldomUsedFields,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testResolveLocations_WhitespaceInput,[junit:junit]
com.novetta.clavin.gazetteer.query,UniqueFuzzyScoringRewrite,"",[org.apache.lucene:lucene-core]
com.novetta.clavin.resolver.multipart,MultipartLocationResolverTest,verifyCity,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteer,getGeoName,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
com.novetta.clavin.gazetteer,BasicGeoNameTest,testIsAncestryResolved_NoParents,[junit:junit]
com.novetta.clavin.resolver.multipart,MultiLevelMultipartLocationResolverTest,"",[junit:junit]
com.novetta.clavin.resolver.multipart,MultipartLocationResolverTest,testResolveMultipartLocation,[junit:junit]
com.novetta.clavin.index,IndexDirectoryBuilder,resolveAncestry,[org.slf4j:slf4j-api]
com.novetta.clavin.gazetteer,LazyAncestryGeoNameTest,testGetParent_LazyResolve_NotResolved_NoParent,"[junit:junit,org.mockito:mockito-core]"
com.novetta.clavin.index,IndexDirectoryBuilder,loadAlternateNames,[org.slf4j:slf4j-api]
com.novetta.clavin.gazetteer,BasicGeoNameTest,testMalformedAlternateCountryCodes,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testSanitizedInput,[junit:junit]
com.novetta.clavin.index,IndexDirectoryBuilder,getOptions,"[commons-cli:commons-cli,org.apache.commons:commons-lang3]"
com.novetta.clavin.extractor,LocationOccurrenceTest,testHashCode,[junit:junit]
com.novetta.clavin.resolver.multipart,MultipartLocationResolverTest,setUpClass,[junit:junit]
com.novetta.clavin.gazetteer,BasicGeoNameTest,setUp,[junit:junit]
com.novetta.clavin.resolver.multipart,MultiLevelMultipartLocationResolverTest,parameters,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testResolveLocations,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testFuzzyMode,[junit:junit]
com.novetta.clavin.gazetteer,BasicGeoName,parseFromGeoNamesRecord,[org.slf4j:slf4j-api]
com.novetta.clavin.index,BinarySimilarity,"",[org.apache.lucene:lucene-core]
com.novetta.clavin.gazetteer,BasicGeoNameTest,testIsTopLevelTerritory,[junit:junit]
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testAncestryLoadMode_ManualLoad,[junit:junit]
com.novetta.clavin,GeoParser,parse,[org.slf4j:slf4j-api]
com.novetta.clavin.extractor,ApacheExtractor,extractLocationNames,[org.apache.opennlp:opennlp-tools]
com.novetta.clavin.gazetteer.query,LuceneGazetteer,resolveParents,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
com.novetta.clavin.index,WhitespaceLowerCaseAnalyzer,createComponents,[org.apache.lucene:lucene-core]
