packageName,className,methodName,apis
proj.zoie.store,LuceneStore,updateReader,[org.apache.lucene:lucene-core]
proj.zoie.api.impl.util,LongSetAccelerator,removeAll,[it.unimi.dsi:fastutil]
proj.zoie.dataprovider.jms,TestJMSStreamDataProvider,testSuccessfulNext,"[com.senseidb.zoie:zoie-core,junit:junit,org.mockito:mockito-all]"
proj.zoie.api,ZoieMultiReader,doWrapDirectoryReader,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,RAMLuceneIndexDataLoader,propagateDeletes,[it.unimi.dsi:fastutil]
proj.zoie.impl.indexing,AsyncDataConsumer,syncWithVersion,[log4j:log4j]
proj.zoie.impl.indexing.internal,BatchedIndexDataLoader,setBatchSize,[log4j:log4j]
proj.zoie.perf.client,StoreQueryHandler,handleQuery,[com.senseidb.zoie:zoie-core]
proj.zoie.perf.tools,IndexReplicator,main,"[com.senseidb.zoie:zoie-core,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
proj.zoie.api.impl.util,IntSetAccelerator,removeAll,[it.unimi.dsi:fastutil]
proj.zoie.api.impl.util,LongSetAccelerator,addAll,[it.unimi.dsi:fastutil]
proj.zoie.perf.client,TermFileBuilder,main,"[com.senseidb.zoie:zoie-core,org.apache.lucene:lucene-core]"
proj.zoie.store,ZoieStoreConsumer,start,[log4j:log4j]
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,updateDirectoryManager,[log4j:log4j]
proj.zoie.impl.indexing.internal,ZoieIndexDeletionPolicy,onInit,[org.apache.lucene:lucene-core]
proj.zoie.test,ZoieStoreTestCase,testCompression,[junit:junit]
proj.zoie.hourglass.impl,Hourglass,getStandardMBean,[log4j:log4j]
proj.zoie.store,AbstractZoieStore,getFromStore,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,StreamDataProvider,"",[log4j:log4j]
proj.zoie.impl.indexing.internal,RAMSearchIndex,getNumdocs,[org.apache.lucene:lucene-core]
proj.zoie.perf.client,SearchQueryHandler,getCurrentVersion,[com.senseidb.zoie:zoie-core]
proj.zoie.api.impl.util,LongSetAccelerator,size,[it.unimi.dsi:fastutil]
proj.zoie.store,LuceneStore,open,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
proj.zoie.hourglass.impl,HourglassReaderManager,getIndexReaders,[log4j:log4j]
proj.zoie.test.data,DataInterpreterForTests,"",[org.apache.lucene:lucene-core]
proj.zoie.test,HourglassTest,testTrimming,"[junit:junit,log4j:log4j]"
proj.zoie.perf.client,ZoiePerf,buildFeedOnlyHandler,[com.senseidb.zoie:zoie-core]
proj.zoie.impl.indexing.internal,DiskSearchIndex,getSegmentInfo,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,BaseSearchIndex,loadFromIndex,"[it.unimi.dsi:fastutil,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,DelegateIndexDataConsumer,consume,[log4j:log4j]
proj.zoie.impl.indexing.internal,DiskLuceneIndexDataLoader,expungeDeletes,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api,ZoieMultiReader,copy,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,BatchedIndexDataLoader,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.test,ZoieTest,testStreamDataProvider,[junit:junit]
proj.zoie.test.data,DataInterpreterForTests,interpret,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,ZoieSystem,getIndexReaders,[log4j:log4j]
proj.zoie.api.impl.util,IntSetAccelerator,toIntArray,[it.unimi.dsi:fastutil]
proj.zoie.api.impl.util,LongSetAccelerator,equals,[it.unimi.dsi:fastutil]
proj.zoie.perf.client,ZoiePerf,runPerf,"[com.senseidb.zoie:zoie-core,com.yammer.metrics:metrics-core,commons-configuration:commons-configuration]"
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,getCalendarTime,[log4j:log4j]
proj.zoie.test,ZoieTest,testStore,"[junit:junit,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,DefaultRAMDiskIndexFactory,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.test,ZoieTest,testDelSet,[junit:junit]
proj.zoie.test,ZoieThreadTest,testThreadDelImpl,"[junit:junit,log4j:log4j,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
proj.zoie.store,LuceneStore,getFromStore,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,BaseSearchIndex,"","[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,RAMSearchIndex,openIndexReaderInternal,[org.apache.lucene:lucene-core]
proj.zoie.api.impl.util,IntSetAccelerator,iterator,[it.unimi.dsi:fastutil]
proj.zoie.perf.client,ZoiePerf,buildZoieStoreHandler,"[com.senseidb.zoie:zoie-core,commons-configuration:commons-configuration,org.apache.lucene:lucene-core,org.json:json]"
proj.zoie.api.impl,ZoieMergePolicy,setMaxSmallSegments,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.hourglass.impl,HourglassReaderManager,preshutdown,[log4j:log4j]
proj.zoie.impl.indexing,FileIndexableInterpreter,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,BaseSearchIndex,openIndexWriter,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,LuceneIndexDataLoader,propagateDeletes,[it.unimi.dsi:fastutil]
proj.zoie.test,PerfTest,perfTest,"[it.unimi.dsi:fastutil,junit:junit]"
proj.zoie.api,DefaultDirectoryManager,transferFromFileToChannel,[log4j:log4j]
proj.zoie.api.impl.util,IndexUtil,getSegmentsInfo,[org.apache.lucene:lucene-core]
proj.zoie.dataprovider.jms,JMSStreamDataProvider,reconnect,[log4j:log4j]
proj.zoie.impl.indexing,DefaultReaderCache,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,BatchedIndexDataLoader,setDelay,[log4j:log4j]
proj.zoie.api,ZoieMultiReader,markDeletes,[it.unimi.dsi:fastutil]
proj.zoie.api.impl,ZoieMergePolicy,findForcedDeletesMerges,[org.apache.lucene:lucene-core]
proj.zoie.pair.impl,Pair,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.perf.client,ZoiePerf,buildZoieHandler,"[com.senseidb.zoie:zoie-core,commons-configuration:commons-configuration,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
proj.zoie.store,LuceneStore,persist,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,ZoieSystem,"","[log4j:log4j,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,BatchedIndexDataLoader,setMaxBatchSize,[log4j:log4j]
proj.zoie.test,ZoieTest,testExportImport,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
proj.zoie.impl.indexing.internal,RAMLuceneIndexDataLoader,"",[org.apache.lucene:lucene-core]
proj.zoie.api.impl.util,LongSetAccelerator,retainAll,[it.unimi.dsi:fastutil]
proj.zoie.hourglass.impl,HourglassReaderManager,trimZoie,[log4j:log4j]
proj.zoie.store,AbstractZoieStore,delete,[it.unimi.dsi:fastutil]
proj.zoie.api,UIDDocIdSet,"",[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,ZoieConfig,setSimilarity,[org.apache.lucene:lucene-core]
proj.zoie.store,ZoieStoreConsumer,stop,[log4j:log4j]
proj.zoie.hourglass.impl,HourglassReaderManager,getArchive,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,DiskLuceneIndexDataLoader,optimize,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.server,ZoieServer,"",[log4j:log4j]
proj.zoie.test,ZoieThreadTest,testDelBigSetImpl,"[junit:junit,log4j:log4j,org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser]"
proj.zoie.impl.indexing,NoopReaderCache,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,IndexSignature,read,[log4j:log4j]
proj.zoie.test,HourglassTest,findUID,[org.apache.lucene:lucene-core]
proj.zoie.hourglass.impl,Hourglass,loadArchiveZoies,[log4j:log4j]
proj.zoie.test,ZoieTest,testDocIDMapper,[junit:junit]
proj.zoie.api,DefaultDirectoryManager,readSignature,[log4j:log4j]
proj.zoie.impl.indexing,SimpleReaderCache,getIndexReaders,[log4j:log4j]
proj.zoie.impl.indexing.internal,DiskSearchIndex,getSegmentCount,[org.apache.lucene:lucene-core]
proj.zoie.dataprovider.jms,DataEventBuilder,buildDataEvent,[com.senseidb.zoie:zoie-core]
proj.zoie.perf.client,SearchQueryHandler,"","[com.senseidb.zoie:zoie-core,org.apache.lucene:lucene-core]"
proj.zoie.api.impl,ZoieMergePolicy,setMergePolicyParams,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,DefaultRAMDiskIndexFactory,newInstance,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.perf.indexing,TweetInterpreter,convertAndInterpret,"[com.senseidb.zoie:zoie-core,org.apache.lucene:lucene-core]"
proj.zoie.example.service.impl,ExampleZoieSearchServiceImpl,"","[com.senseidb.zoie:zoie-core,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.perf.indexing,LinedFileDataProvider,next,"[com.senseidb.zoie:zoie-core,log4j:log4j]"
proj.zoie.impl.indexing,MemoryStreamDataProvider,flush,[log4j:log4j]
proj.zoie.impl.indexing,ZoieSystem,getVersion,[log4j:log4j]
proj.zoie.impl.indexing.internal,ZoieIndexDeletionPolicy,"",[org.apache.lucene:lucene-core]
proj.zoie.pair.impl,Pair,loadIndex,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.hourglass.impl,HourglassReaderManager,swapArchiveZoies,[log4j:log4j]
proj.zoie.impl.indexing.internal,BaseSearchIndex,deleteDocs,"[it.unimi.dsi:fastutil,org.apache.lucene:lucene-core]"
proj.zoie.perf.client,ZoiePerf,main,"[commons-configuration:commons-configuration,org.mortbay.jetty:jetty,org.mortbay.jetty:jetty-util]"
proj.zoie.api.impl.util,LongSetAccelerator,contains,[it.unimi.dsi:fastutil]
proj.zoie.tools.luke,ZoiePlugin,toDocID,"[com.senseidb.zoie:zoie-core,it.unimi.dsi:fastutil]"
proj.zoie.test,ZoieTest,testPurgeFilter,"[junit:junit,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api.impl.util,IntSetAccelerator,equals,[it.unimi.dsi:fastutil]
proj.zoie.dataprovider.jms,JMSStreamDataProvider,backOffAfterJMSException,[log4j:log4j]
proj.zoie.impl.indexing.internal,SearchIndexManager,setDiskIndexerStatus,[log4j:log4j]
proj.zoie.hourglass.impl,Hourglass,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,BaseSearchIndex,clearDeletes,[it.unimi.dsi:fastutil]
proj.zoie.impl.indexing.internal,IndexReaderDispenser,newReader,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.test,ZoieThreadTest,"",[log4j:log4j]
proj.zoie.store,AbstractZoieStore,commit,[it.unimi.dsi:fastutil]
proj.zoie.test,HourglassTest,modifyTest,"[junit:junit,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api.indexing,ZoieIndexable,"",[org.apache.lucene:lucene-core]
proj.zoie.hourglass.impl,Hourglass,updateCachedReaders,[log4j:log4j]
proj.zoie.impl.indexing,DefaultIndexReaderDecorator,redecorate,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,SmartReaderCache,setFreshness,[log4j:log4j]
proj.zoie.store,ZoieStoreConsumer,consume,[log4j:log4j]
proj.zoie.tools.luke,ZoiePlugin,getZoieReader,[org.apache.lucene:lucene-core]
proj.zoie.api.impl,ZoieMergePolicy,createVarianceTable,[org.apache.lucene:lucene-core]
proj.zoie.test,ZoieTest,testAsyncDataConsumer,[junit:junit]
proj.zoie.api,UIDFilter,"",[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,SimpleReaderCache,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,ZoieIndexDeletionPolicy,onCommit,[org.apache.lucene:lucene-core]
proj.zoie.test,ZoieTest,testIndexEventListener,"[junit:junit,org.apache.lucene:lucene-core]"
proj.zoie.hourglass.impl,Hourglass,getIndexReaders,[log4j:log4j]
proj.zoie.pair.impl,Pair,getAnalyzer,[org.apache.lucene:lucene-core]
proj.zoie.store,AbstractZoieStore,"","[it.unimi.dsi:fastutil,log4j:log4j]"
proj.zoie.api,DataDoc,"",[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,SearchIndexManager,getAnalyzer,[org.apache.lucene:lucene-core]
proj.zoie.api.impl,ZoieMergePolicy,isMerged,[org.apache.lucene:lucene-core]
proj.zoie.store,LuceneStore,openStore,[org.apache.lucene:lucene-core]
proj.zoie.hourglass.impl,Box,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing,ZoieSystem,getAnalyzer,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,DefaultRAMIndexFactory,"",[org.apache.lucene:lucene-core]
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,getFSDirectoryFromFile,[org.apache.lucene:lucene-core]
proj.zoie.hourglass.impl,HourglassReaderManager,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,BatchedIndexDataLoader,fireIndexingEvent,[log4j:log4j]
proj.zoie.impl.indexing.internal,ZoieIndexDeletionPolicy,processCommits,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,ZoieConfig,"",[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,IndexSignature,save,[log4j:log4j]
proj.zoie.api,UIDDocIdSet,mapUID,[it.unimi.dsi:fastutil]
proj.zoie.hourglass.impl,Hourglass,getAnalyzer,[org.apache.lucene:lucene-core]
