packageName,className,methodName,apis
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzerTest,testAnalyzerFindsVersionWithLeadingV,"[com.github.package-url:packageurl-java,org.mock-server:mockserver-netty]"
org.dependencytrack.tasks.repositories,NpmMetaAnalyzer,"",[us.springett:alpine]
org.dependencytrack.resources.v1,ProjectPropertyResourceTest,configureDeployment,[us.springett:alpine]
org.dependencytrack.resources.v1,ProjectResource,getProjectsByTag,[us.springett:alpine]
org.dependencytrack.resources.v1.serializers,CustomPackageURLSerializer,serialize,[com.github.package-url:packageurl-java]
org.dependencytrack.tasks.repositories,AbstractMetaAnalyzer,handleUnexpectedHttpResponse,"[com.github.package-url:packageurl-java,us.springett:alpine]"
org.dependencytrack.persistence,ServiceComponentQueryManager,createServiceComponent,[us.springett:alpine]
org.dependencytrack,ResourceTest,initializeWithPermissions,[us.springett:alpine]
org.dependencytrack.model,ServiceComponent,"",[us.springett:alpine]
org.dependencytrack.resources.v1,AbstractConfigPropertyResource,updatePropertyValue,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,deleteManagedUserTest,[us.springett:alpine]
org.dependencytrack.search,SearchManager,"",[us.springett:alpine]
org.dependencytrack.tasks,VulnerabilityManagementUploadTask,processProjectFindings,[us.springett:alpine]
org.dependencytrack.persistence,ComponentQueryManager,createComponent,[us.springett:alpine]
org.dependencytrack.persistence,ProjectQueryManager,createProjectProperty,[us.springett:alpine]
org.dependencytrack.resources.v1,LicenseGroupResource,deleteLicenseGroup,[us.springett:alpine]
org.dependencytrack.resources.v1,VulnerabilityResource,"",[us.springett:alpine]
org.dependencytrack.tasks,VulnDbSyncTask,updateDatasource,"[us.springett:alpine,us.springett:vulndb-data-mirror]"
org.dependencytrack.model,RepositoryTypeTest,testResolvePypi,[com.github.package-url:packageurl-java]
org.dependencytrack.persistence,ProjectQueryManager,clone,[us.springett:alpine]
org.dependencytrack.resources.v1,VulnerabilityResource,unassignVulnerability,[us.springett:alpine]
org.dependencytrack.search,IndexManager,getDocument,"[org.apache.lucene:lucene-core,us.springett:alpine]"
org.dependencytrack.tasks.scanners,BaseComponentAnalyzerTask,isCacheCurrent,[us.springett:alpine]
org.dependencytrack.model,NotificationRule,"",[us.springett:alpine]
