filePath,packageName,className,methodName,line,column,javaParserTypeOfElement,usedClassOfElement,isAPIClass,api,mcrCategories,mcrTags
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,45,14,NameExpr,org.apache.lucene.search.TopDocs,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,47,11,NameExpr,java.util.List,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,47,11,NameExpr,org.apache.lucene.index.IndexReader,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,48,9,NameExpr,proj.zoie.api.IndexReaderFactory,true,com.senseidb.zoie:zoie-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,48,43,NameExpr,java.util.List,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,48,43,NameExpr,org.apache.lucene.index.IndexReader,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,34,3,MarkerAnnotationExpr,java.lang.Override,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,38,15,MethodCallExpr,java.util.Random,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,41,17,MethodCallExpr,proj.zoie.api.IndexReaderFactory,true,com.senseidb.zoie:zoie-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,42,44,MethodCallExpr,java.util.List,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,44,22,MethodCallExpr,org.apache.lucene.search.IndexSearcher,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,48,9,MethodCallExpr,null,false (null),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,getCurrentVersion,54,3,MethodDeclaration,java.lang.String,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,getCurrentVersion,56,12,NameExpr,proj.zoie.api.IndexReaderFactory,true,com.senseidb.zoie:zoie-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,getCurrentVersion,54,3,MarkerAnnotationExpr,java.lang.Override,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,getCurrentVersion,56,12,MethodCallExpr,proj.zoie.api.IndexReaderFactory,true,com.senseidb.zoie:zoie-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/StoreQueryHandler.java,proj.zoie.perf.client,StoreQueryHandler,,16,43,ClassOrInterfaceType,proj.zoie.perf.client.QueryHandler,false (src),,,
zoie-perf/src/main/java/proj/zoie/perf/client/StoreQueryHandler.java,proj.zoie.perf.client,StoreQueryHandler,,18,27,VariableDeclarator,proj.zoie.store.ZoieStore,true,com.senseidb.zoie:zoie-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/StoreQueryHandler.java,proj.zoie.perf.client,StoreQueryHandler,,21,24,VariableDeclarator,java.util.Random,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/StoreQueryHandler.java,proj.zoie.perf.client,StoreQueryHandler,,27,13,ObjectCreationExpr,java.util.Random,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/StoreQueryHandler.java,proj.zoie.perf.client,StoreQueryHandler,,31,28,ObjectCreationExpr,it.unimi.dsi.fastutil.longs.LongArrayList,true,it.unimi.dsi:fastutil,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/StoreQueryHandler.java,proj.zoie.perf.client,StoreQueryHandler,,33,16,ObjectCreationExpr,java.io.BufferedReader,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/StoreQueryHandler.java,proj.zoie.perf.client,StoreQueryHandler,,33,35,ObjectCreationExpr,java.io.InputStreamReader,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/StoreQueryHandler.java,proj.zoie.perf.client,StoreQueryHandler,,33,57,ObjectCreationExpr,java.io.FileInputStream,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/StoreQueryHandler.java,proj.zoie.perf.client,StoreQueryHandler,,39,29,ObjectCreationExpr,org.json.JSONObject,true,org.json:json,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/StoreQueryHandler.java,proj.zoie.perf.client,StoreQueryHandler,,23,28,Parameter,java.io.File,false (JRE),,,
